厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
91,2020,6,Jeep,91,502,牧马人,823,5,20230112
264,2020,6,凯翼,264,2374,凯翼X3,355,5,20230112
399,2020,6,梅赛德斯-迈巴赫,399,2092,迈巴赫S级,902,5,20230112
79,2020,6,中华,79,930,中华H530,543,5,20230112
290,2020,6,SWM斯威汽车,290,3651,SWM斯威G05,419,5,20230112
50,2020,6,北汽昌河,50,2941,昌河Q7,269,5,20230112
331,2020,6,广汽丰田,331,3580,广汽丰田iA5,633,5,20230112
271,2020,6,华颂,271,2108,华颂7,591,5,20230112
232,2020,6,特斯拉,232,1862,特斯拉Model X,432,5,20230112
214,2020,6,海马汽车,214,3091,海马8S,443,5,20230112
70,2020,6,捷豹,70,1798,捷豹F-PACE,388,6,20230112
169,2020,6,众泰,169,2879,众泰T600 Coupe,96,6,20230112
335,2020,6,零跑汽车,335,3892,零跑T03,355,6,20230112
277,2020,6,东风雷诺,277,2534,科雷傲,147,6,20230112
227,2020,6,观致,227,2329,观致5,412,6,20230112
97,2020,6,英菲尼迪(进口),97,1787,QX60（进口）,188,6,20230112
203,2020,6,野马汽车,203,3382,博骏,296,6,20230112
59,2020,6,玛莎拉蒂,59,1182,Levante,212,6,20230112
307,2020,6,长安跨越,307,2871,长安V3,348,6,20230112
274,2020,6,宝沃,274,2463,宝沃BX5,273,6,20230112
25,2020,6,福特（进口）,25,657,Mustang,293,6,20230112
225,2020,6,腾势,225,3628,腾势X PHEV,290,6,20230112
367,2020,6,国机智骏,367,3465,国机智骏GX5,164,6,20230112
163,2020,6,昌河铃木,163,1656,北斗星X5,271,6,20230112
110,2020,6,北汽制造,110,1252,BJ 212,142,6,20230112
373,2020,6,几何汽车,373,3362,几何A,244,6,20230112
235,2020,6,宝马M,235,1824,宝马M2,53,6,20230112
80,2020,6,猎豹汽车,80,3107,猎豹迈途,116,6,20230112
64,2020,6,宾利,64,1402,添越,118,6,20230112
210,2020,6,广汽本田,210,3240,广汽本田VE-1,221,6,20230112
376,2020,6,雷丁,376,3558,雷丁i5,105,7,20230112
289,2020,6,驭胜,289,865,驭胜S350,176,7,20230112
280,2020,6,汉腾汽车,280,2693,汉腾X5,77,7,20230112
42,2020,6,阿尔法-罗密欧,42,2654,Giulia,107,7,20230112
326,2020,6,爱驰,326,3101,爱驰U5,159,7,20230112
295,2020,6,江铃集团新能源,295,3358,易至EV3,96,7,20230112
262,2020,6,江西五十铃,262,2119,五十铃mu-X牧游侠,142,7,20230112
216,2020,6,北汽威旺,216,2664,北汽威旺M50F,87,7,20230112
434,2020,6,睿蓝汽车,434,4015,枫叶30X,100,7,20230112
41,2020,6,劳斯莱斯,41,2447,库里南,48,7,20230112
312,2020,6,君马汽车,312,3191,君马SEEK 5（赛克5）,45,7,20230112
342,2020,6,大乘汽车,342,3236,大乘G60s,50,7,20230112
66,2020,6,兰博基尼,66,1385,Urus,62,7,20230112
332,2020,6,云雀汽车,332,3153,全界Q1,67,7,20230112
369,2020,6,北汽新能源,369,2928,LITE,65,7,20230112
87,2020,6,陆风汽车,87,3398,陆风荣曜,55,7,20230112
278,2020,6,东风汽车,278,2929,御风S16,34,7,20230112
384,2020,6,合创,384,3822,合创007,58,7,20230112
88,2020,6,一汽海马,88,3142,海马7X,26,7,20230112
9,2020,6,克莱斯勒（进口）,9,2732,Pacifica,27,7,20230112
337,2020,6,金康赛力斯,337,3202,赛力斯SF5,54,8,20230112
258,2020,6,潍柴英致汽车,258,2298,英致737,43,8,20230112
432,2020,6,大运汽车,432,4012,悦虎,43,8,20230112
215,2020,6,东风裕隆,215,3741,纳智捷URX,18,8,20230112
193,2020,6,开瑞汽车,193,2669,开瑞K60,32,8,20230112
234,2020,6,Audi Sport,234,1398,奥迪RS 4,11,8,20230112
309,2020,6,瑞驰新能源,309,3922,瑞驰S513,40,8,20230112
229,2020,6,迈凯伦,229,2793,迈凯伦720S,18,8,20230112
186,2020,6,福田汽车,186,2384,伽途iS7,10,8,20230112
390,2020,6,汉龙汽车,390,3664,旷世,33,8,20230112
29,2020,6,阿斯顿·马丁,29,2260,DB11,20,8,20230112
329,2020,6,江淮大众,329,3129,思皓E20X,26,8,20230112
108,2020,6,道奇（进口）,108,2035,Challenger,21,8,20230112
106,2020,6,华泰汽车,106,1956,圣达菲,14,8,20230112
217,2020,6,DS汽车,217,3061,DS 7,13,8,20230112
18,2020,6,铃木（进口）,18,326,吉姆尼,16,8,20230112
201,2020,6,九龙汽车,201,2039,艾菲,20,8,20230112
218,2020,6,GMC,218,1168,SAVANA,17,8,20230112
162,2020,6,天津一汽,162,2814,骏派CX65,8,8,20230112
439,2020,6,吉麦新能源,439,4040,凌宝BOX,15,8,20230112
82,2020,6,华晨雷诺,82,3286,观境,7,9,20230112
249,2020,6,北汽幻速,249,2618,北汽幻速S3L,5,9,20230112
246,2020,6,福汽新龙马,246,2385,启腾V60,10,9,20230112
100,2020,6,郑州日产,100,764,NV200,12,9,20230112
328,2020,6,新特汽车,328,3110,SITECH DEV 1,12,9,20230112
275,2020,6,知豆,275,2278,知豆D2,12,9,20230112
339,2020,6,广汽三菱,339,3253,祺智EV,11,9,20230112
149,2020,6,福迪,149,2078,揽福,11,9,20230112
316,2020,6,国金汽车,316,2977,国金GM3,11,9,20230112
315,2020,6,领途汽车,315,2973,领途E行,10,9,20230112
303,2020,6,云度,303,2848,云度π3,6,9,20230112
228,2020,6,东风·郑州日产,228,1087,帅客EV,9,9,20230112
251,2020,6,卡威,251,1922,卡威W1,8,9,20230112
185,2020,6,一汽吉林,185,3912,森雅R8,6,9,20230112
16,2020,6,凯迪拉克（进口）,16,210,凯雷德,6,9,20230112
170,2020,6,力帆汽车,170,2076,力帆乐途,2,9,20230112
154,2020,6,路特斯,154,1158,路特斯Evora,6,9,20230112
43,2020,6,雷诺,43,1322,雷诺卡缤,5,9,20230112
408,2020,6,野马新能源,408,3293,野马EC60,4,9,20230112
355,2020,6,广汽本田,355,3330,世锐混动,4,9,20230112
40,2020,7,上汽大众,40,549,朗逸,32845,1,20230112
30,2020,7,一汽-大众,30,573,宝来,25102,1,20230112
94,2020,7,东风日产,94,428,轩逸,47123,1,20230112
198,2020,7,吉利汽车,198,2325,吉利博越,13400,1,20230112
58,2020,7,上汽通用别克,58,814,英朗,26829,1,20230112
76,2020,7,一汽丰田,76,492,卡罗拉,31485,1,20230112
175,2020,7,广汽丰田,175,1972,雷凌,18715,1,20230112
135,2020,7,东风本田,135,395,思域,23291,1,20230112
75,2020,7,广汽本田,75,86,雅阁,19078,1,20230112
55,2020,7,长安,55,3392,长安CS75 PLUS,16961,1,20230112
164,2020,7,北京奔驰,164,2326,奔驰GLC级,16550,1,20230112
120,2020,7,华晨宝马,120,119,宝马3系,14457,1,20230112
69,2020,7,一汽-大众奥迪,69,10,奥迪A6L,16176,1,20230112
230,2020,7,长城汽车,230,776,哈弗H6,23742,1,20230112
127,2020,7,上汽通用五菱,127,841,五菱宏光,15204,1,20230112
101,2020,7,北京现代,101,2343,领动,5882,1,20230112
406,2020,7,上汽通用五菱,406,2641,宝骏510,5653,1,20230112
182,2020,7,上汽集团,182,3248,荣威i5,9181,1,20230112
89,2020,7,比亚迪,89,3449,比亚迪宋Pro,7928,1,20230112
153,2020,7,上海通用雪佛兰,153,3322,科鲁泽,10472,1,20230112
206,2020,7,广汽乘用车,206,2136,传祺GS4,10020,2,20230112
24,2020,7,雷克萨斯,24,425,雷克萨斯ES,10750,2,20230112
74,2020,7,奇瑞,74,3074,瑞虎8,6668,2,20230112
189,2020,7,长安马自达,189,1847,昂克赛拉,6520,2,20230112
157,2020,7,上汽通用凯迪拉克,157,2487,XT5,5149,2,20230112
54,2020,7,起亚,54,859,智跑,5925,2,20230112
144,2020,7,长安福特,144,3417,锐际,3230,2,20230112
183,2020,7,上汽大众斯柯达,183,457,明锐,2582,2,20230112
7,2020,7,红旗,7,3442,红旗HS5,8632,2,20230112
8,2020,7,奔驰（进口）,8,2180,奔驰GLE级,3733,2,20230112
244,2020,7,沃尔沃亚太,244,2079,沃尔沃XC60,5773,2,20230112
354,2020,7,一汽-大众捷达,354,3386,捷达VS5,5818,2,20230112
296,2020,7,领克,296,2863,领克03,4898,2,20230112
388,2020,7,特斯拉中国,388,3654,Model 3,11456,2,20230112
1,2020,7,宝马（进口）,1,411,宝马X5（进口）,4299,2,20230112
223,2020,7,长安汽车,223,3450,长安欧尚X7,5836,2,20230112
177,2020,7,一汽奔腾,177,2696,奔腾X40,2734,2,20230112
184,2020,7,上汽名爵,184,660,名爵6,3573,2,20230112
279,2020,7,东风小康,279,2453,风光580,3123,2,20230112
61,2020,7,东风风行,61,46,菱智,3661,2,20230112
231,2020,7,北京汽车,231,3641,北京EU5,1583,3,20230112
207,2020,7,东风日产启辰,207,2888,启辰D60,2722,3,20230112
68,2020,7,保时捷,68,372,卡宴,2596,3,20230112
22,2020,7,丰田（进口）,22,862,埃尔法,2428,3,20230112
302,2020,7,长城汽车,302,3200,魏牌VV6,3026,3,20230112
90,2020,7,江淮汽车,90,3629,嘉悦A5,2457,3,20230112
2,2020,7,奥迪（进口）,2,237,奥迪A8,1391,3,20230112
226,2020,7,广汽三菱,226,2624,欧蓝德,3839,3,20230112
327,2020,7,奇瑞汽车,327,3102,捷途X70,2070,3,20230112
194,2020,7,东风风神,194,3429,奕炫,2086,3,20230112
318,2020,7,埃安,318,3297,AION S,4563,3,20230112
385,2020,7,长安林肯,385,3591,冒险家,3258,3,20230112
292,2020,7,蔚来汽车,292,3338,蔚来ES6,2614,3,20230112
35,2020,7,沃尔沃（进口）,35,758,沃尔沃S60（进口）,1863,3,20230112
276,2020,7,广汽菲亚特克莱斯勒,276,2706,指南者,1644,3,20230112
219,2020,7,上汽大通MAXUS,219,3317,上汽MAXUS G50,1608,3,20230112
308,2020,7,长安凯程,308,1282,欧诺S,1405,3,20230112
270,2020,7,奇瑞捷豹路虎,270,3909,发现运动版,2128,3,20230112
340,2020,7,长城汽车,340,3346,欧拉黑猫,2643,3,20230112
253,2020,7,江铃福特,253,3328,领界,2503,3,20230112
65,2020,7,路虎（进口）,65,741,揽胜运动版,799,4,20230112
204,2020,7,福建奔驰,204,2597,奔驰V级,1498,4,20230112
358,2020,7,奇瑞新能源,358,2645,小蚂蚁,2368,4,20230112
320,2020,7,小鹏汽车,320,3418,小鹏汽车P7,1723,4,20230112
344,2020,7,理想汽车,344,3274,理想ONE,2516,4,20230112
286,2020,7,华晨鑫源,286,1785,金杯小海狮X30,2144,4,20230112
134,2020,7,东风标致,134,1417,标致4008,697,4,20230112
4,2020,7,大众（进口）,4,356,途锐,1456,4,20230112
211,2020,7,北京越野,211,905,北京BJ40,1894,4,20230112
57,2020,7,东风雪铁龙,57,2818,天逸 C5 AIRCROSS,881,4,20230112
44,2020,7,斯巴鲁,44,229,森林人,1283,4,20230112
530,2020,7,瑞风汽车,530,1994,瑞风M3,1250,4,20230112
63,2020,7,日产（进口）,63,277,途乐,1837,4,20230112
36,2020,7,林肯,36,3106,林肯航海家,779,4,20230112
93,2020,7,MINI,93,403,MINI,1162,4,20230112
269,2020,7,东风英菲尼迪,269,2149,英菲尼迪QX50,1128,4,20230112
285,2020,7,奇瑞捷豹,285,2953,捷豹XEL,1125,4,20230112
259,2020,7,北汽新能源,259,3410,北汽新能源EC3,674,4,20230112
264,2020,7,凯翼,264,3899,炫界,670,4,20230112
300,2020,7,威马,300,2976,威马EX5,1284,4,20230112
395,2020,7,东风本田,395,3493,东风本田X-NV,1318,5,20230112
53,2020,7,东南,53,3581,东南DX5,611,5,20230112
200,2020,7,东风小康,200,804,小康K01,666,5,20230112
357,2020,7,星途,357,3141,星途TX,660,5,20230112
373,2020,7,几何汽车,373,3362,几何A,1197,5,20230112
143,2020,7,长安铃木,143,1983,启悦,1160,5,20230112
20,2020,7,三菱（进口）,20,509,帕杰罗（进口）,1131,5,20230112
202,2020,7,AMG,202,2065,AMG GT,294,5,20230112
91,2020,7,Jeep,91,502,牧马人,836,5,20230112
398,2020,7,中国重汽VGV,398,3802,VGV U70,1033,5,20230112
338,2020,7,合众汽车,338,3448,哪吒U,811,5,20230112
283,2020,7,广汽讴歌,283,3149,讴歌RDX,516,5,20230112
399,2020,7,梅赛德斯-迈巴赫,399,2092,迈巴赫S级,885,5,20230112
290,2020,7,SWM斯威汽车,290,3651,SWM斯威G05,385,5,20230112
331,2020,7,广汽丰田,331,3580,广汽丰田iA5,695,5,20230112
335,2020,7,零跑汽车,335,3892,零跑T03,523,5,20230112
59,2020,7,玛莎拉蒂,59,1182,Levante,286,5,20230112
79,2020,7,中华,79,930,中华H530,248,5,20230112
271,2020,7,华颂,271,2108,华颂7,496,5,20230112
50,2020,7,北汽昌河,50,2941,昌河Q7,206,5,20230112
214,2020,7,海马汽车,214,3091,海马8S,396,6,20230112
203,2020,7,野马汽车,203,3382,博骏,312,6,20230112
274,2020,7,宝沃,274,2463,宝沃BX5,326,6,20230112
70,2020,7,捷豹,70,1798,捷豹F-PACE,310,6,20230112
210,2020,7,广汽本田,210,3240,广汽本田VE-1,380,6,20230112
97,2020,7,英菲尼迪(进口),97,1787,QX60（进口）,144,6,20230112
367,2020,7,国机智骏,367,3467,国机智骏GC1,222,6,20230112
455,2020,7,速达,455,4165,速达SA01,305,6,20230112
307,2020,7,长安跨越,307,2871,长安V3,315,6,20230112
225,2020,7,腾势,225,3628,腾势X PHEV,283,6,20230112
110,2020,7,北汽制造,110,27,战旗,157,6,20230112
25,2020,7,福特（进口）,25,657,Mustang,279,6,20230112
163,2020,7,昌河铃木,163,1656,北斗星X5,273,6,20230112
277,2020,7,东风雷诺,277,2534,科雷傲,98,6,20230112
169,2020,7,众泰,169,2240,众泰E200,52,6,20230112
432,2020,7,大运汽车,432,4080,远志M1,152,6,20230112
280,2020,7,汉腾汽车,280,2693,汉腾X5,105,6,20230112
275,2020,7,知豆,275,2278,知豆D2,185,6,20230112
289,2020,7,驭胜,289,865,驭胜S350,167,6,20230112
232,2020,7,特斯拉,232,1862,特斯拉Model X,115,6,20230112
227,2020,7,观致,227,2329,观致5,160,7,20230112
64,2020,7,宾利,64,1402,添越,74,7,20230112
295,2020,7,江铃集团新能源,295,3358,易至EV3,138,7,20230112
80,2020,7,猎豹汽车,80,3107,猎豹迈途,91,7,20230112
42,2020,7,阿尔法-罗密欧,42,2654,Giulia,97,7,20230112
235,2020,7,宝马M,235,3461,宝马X3 M,49,7,20230112
434,2020,7,睿蓝汽车,434,4015,枫叶30X,125,7,20230112
262,2020,7,江西五十铃,262,2119,五十铃mu-X牧游侠,117,7,20230112
41,2020,7,劳斯莱斯,41,2447,库里南,44,7,20230112
376,2020,7,雷丁,376,3558,雷丁i5,50,7,20230112
326,2020,7,爱驰,326,3101,爱驰U5,77,7,20230112
278,2020,7,东风汽车,278,3862,俊风EV30,37,7,20230112
384,2020,7,合创,384,3822,合创007,67,7,20230112
87,2020,7,陆风汽车,87,3398,陆风荣曜,60,7,20230112
337,2020,7,金康赛力斯,337,3202,赛力斯SF5,63,7,20230112
342,2020,7,大乘汽车,342,3236,大乘G60s,40,7,20230112
312,2020,7,君马汽车,312,2931,君马MEET3（美图3）,36,7,20230112
193,2020,7,开瑞汽车,193,2669,开瑞K60,39,7,20230112
303,2020,7,云度,303,2849,云度π1,39,7,20230112
439,2020,7,吉麦新能源,439,4040,凌宝BOX,48,7,20230112
29,2020,7,阿斯顿·马丁,29,2260,DB11,32,8,20230112
9,2020,7,克莱斯勒（进口）,9,2732,Pacifica,21,8,20230112
332,2020,7,云雀汽车,332,3153,全界Q1,39,8,20230112
186,2020,7,福田汽车,186,2202,萨瓦纳,19,8,20230112
329,2020,7,江淮大众,329,3129,思皓E20X,36,8,20230112
66,2020,7,兰博基尼,66,1385,Urus,24,8,20230112
229,2020,7,迈凯伦,229,2793,迈凯伦720S,20,8,20230112
309,2020,7,瑞驰新能源,309,3922,瑞驰S513,34,8,20230112
390,2020,7,汉龙汽车,390,3664,旷世,33,8,20230112
217,2020,7,DS汽车,217,3061,DS 7,24,8,20230112
369,2020,7,北汽新能源,369,2928,LITE,30,8,20230112
234,2020,7,Audi Sport,234,1398,奥迪RS 4,10,8,20230112
88,2020,7,一汽海马,88,3142,海马7X,13,8,20230112
215,2020,7,东风裕隆,215,3741,纳智捷URX,22,8,20230112
258,2020,7,潍柴英致汽车,258,2298,英致737,25,8,20230112
18,2020,7,铃木（进口）,18,326,吉姆尼,14,8,20230112
218,2020,7,GMC,218,1168,SAVANA,18,8,20230112
149,2020,7,福迪,149,2078,揽福,14,8,20230112
108,2020,7,道奇（进口）,108,2035,Challenger,14,8,20230112
339,2020,7,广汽三菱,339,3253,祺智EV,13,8,20230112
437,2020,7,开沃汽车,437,4035,开沃D07,11,9,20230112
315,2020,7,领途汽车,315,2973,领途E行,10,9,20230112
16,2020,7,凯迪拉克（进口）,16,210,凯雷德,9,9,20230112
170,2020,7,力帆汽车,170,2488,迈威,6,9,20230112
82,2020,7,华晨雷诺,82,3286,观境,6,9,20230112
403,2020,7,SRM鑫源新能源,403,3845,海狮EV,9,9,20230112
216,2020,7,北汽威旺,216,2664,北汽威旺M50F,4,9,20230112
328,2020,7,新特汽车,328,3110,SITECH DEV 1,8,9,20230112
246,2020,7,福汽新龙马,246,2303,启腾EX80,7,9,20230112
162,2020,7,天津一汽,162,2824,骏派A50,4,9,20230112
100,2020,7,郑州日产,100,764,NV200,7,9,20230112
316,2020,7,国金汽车,316,2977,国金GM3,5,9,20230112
154,2020,7,路特斯,154,1158,路特斯Evora,3,9,20230112
249,2020,7,北汽幻速,249,1890,幻速S3,1,9,20230112
241,2020,7,之诺,241,2796,之诺60H混动,3,9,20230112
185,2020,7,一汽吉林,185,3912,森雅R8,3,9,20230112
156,2020,7,smart(进口),156,377,smart fortwo,3,9,20230112
6,2020,7,雪铁龙（进口）,6,588,C4毕加索,3,9,20230112
228,2020,7,东风·郑州日产,228,1087,帅客EV,3,9,20230112
201,2020,7,九龙汽车,201,2039,艾菲,3,9,20230112
40,2020,8,上汽大众,40,549,朗逸,40498,1,20230112
30,2020,8,一汽-大众,30,573,宝来,29643,1,20230112
94,2020,8,东风日产,94,428,轩逸,47281,1,20230112
198,2020,8,吉利汽车,198,2325,吉利博越,13965,1,20230112
58,2020,8,上汽通用别克,58,814,英朗,26437,1,20230112
135,2020,8,东风本田,135,395,思域,26828,1,20230112
55,2020,8,长安,55,3392,长安CS75 PLUS,17561,1,20230112
175,2020,8,广汽丰田,175,1972,雷凌,21675,1,20230112
75,2020,8,广汽本田,75,86,雅阁,18404,1,20230112
76,2020,8,一汽丰田,76,492,卡罗拉,30342,1,20230112
120,2020,8,华晨宝马,120,119,宝马3系,17097,1,20230112
69,2020,8,一汽-大众奥迪,69,10,奥迪A6L,16103,1,20230112
164,2020,8,北京奔驰,164,357,奔驰E级,16079,1,20230112
230,2020,8,长城汽车,230,776,哈弗H6,24518,1,20230112
127,2020,8,上汽通用五菱,127,841,五菱宏光,16048,1,20230112
101,2020,8,北京现代,101,2343,领动,6444,1,20230112
406,2020,8,上汽通用五菱,406,2641,宝骏510,5606,1,20230112
182,2020,8,上汽集团,182,3248,荣威i5,9570,1,20230112
89,2020,8,比亚迪,89,3449,比亚迪宋Pro,7905,1,20230112
206,2020,8,广汽乘用车,206,2136,传祺GS4,11240,1,20230112
153,2020,8,上海通用雪佛兰,153,3322,科鲁泽,10971,2,20230112
24,2020,8,雷克萨斯,24,425,雷克萨斯ES,11178,2,20230112
157,2020,8,上汽通用凯迪拉克,157,2487,XT5,5829,2,20230112
74,2020,8,奇瑞,74,3074,瑞虎8,7933,2,20230112
7,2020,8,红旗,7,3442,红旗HS5,9431,2,20230112
189,2020,8,长安马自达,189,1847,昂克赛拉,7059,2,20230112
54,2020,8,起亚,54,859,智跑,5835,2,20230112
144,2020,8,长安福特,144,1695,福睿斯,3009,2,20230112
296,2020,8,领克,296,2863,领克03,5523,2,20230112
244,2020,8,沃尔沃亚太,244,2079,沃尔沃XC60,5825,2,20230112
183,2020,8,上汽大众斯柯达,183,457,明锐,2820,2,20230112
354,2020,8,一汽-大众捷达,354,3386,捷达VS5,5793,2,20230112
1,2020,8,宝马（进口）,1,411,宝马X5（进口）,4330,2,20230112
8,2020,8,奔驰（进口）,8,2180,奔驰GLE级,2828,2,20230112
388,2020,8,特斯拉中国,388,3654,Model 3,11548,2,20230112
223,2020,8,长安汽车,223,3450,长安欧尚X7,6962,2,20230112
184,2020,8,上汽名爵,184,660,名爵6,5307,2,20230112
68,2020,8,保时捷,68,372,卡宴,3136,2,20230112
177,2020,8,一汽奔腾,177,2696,奔腾X40,2542,2,20230112
302,2020,8,长城汽车,302,3200,魏牌VV6,3603,2,20230112
231,2020,8,北京汽车,231,3963,北京X7,2299,3,20230112
279,2020,8,东风小康,279,2453,风光580,2891,3,20230112
61,2020,8,东风风行,61,46,菱智,3614,3,20230112
318,2020,8,埃安,318,3297,AION S,5230,3,20230112
207,2020,8,东风日产启辰,207,2888,启辰D60,2799,3,20230112
327,2020,8,奇瑞汽车,327,3102,捷途X70,2614,3,20230112
90,2020,8,江淮汽车,90,3629,嘉悦A5,2269,3,20230112
226,2020,8,广汽三菱,226,2624,欧蓝德,4063,3,20230112
2,2020,8,奥迪（进口）,2,237,奥迪A8,1340,3,20230112
194,2020,8,东风风神,194,3429,奕炫,1876,3,20230112
385,2020,8,长安林肯,385,3591,冒险家,3610,3,20230112
22,2020,8,丰田（进口）,22,862,埃尔法,2330,3,20230112
253,2020,8,江铃福特,253,3328,领界,3923,3,20230112
340,2020,8,长城汽车,340,3346,欧拉黑猫,3677,3,20230112
276,2020,8,广汽菲亚特克莱斯勒,276,2706,指南者,1952,3,20230112
292,2020,8,蔚来汽车,292,3338,蔚来ES6,2835,3,20230112
219,2020,8,上汽大通MAXUS,219,3317,上汽MAXUS G50,1865,3,20230112
308,2020,8,长安凯程,308,1282,欧诺S,1512,3,20230112
270,2020,8,奇瑞捷豹路虎,270,3909,发现运动版,2139,3,20230112
358,2020,8,奇瑞新能源,358,2645,小蚂蚁,2815,3,20230112
65,2020,8,路虎（进口）,65,216,揽胜,889,4,20230112
344,2020,8,理想汽车,344,3274,理想ONE,2710,4,20230112
320,2020,8,小鹏汽车,320,3418,小鹏汽车P7,2033,4,20230112
286,2020,8,华晨鑫源,286,1785,金杯小海狮X30,2222,4,20230112
93,2020,8,MINI,93,403,MINI,1839,4,20230112
269,2020,8,东风英菲尼迪,269,2149,英菲尼迪QX50,1699,4,20230112
204,2020,8,福建奔驰,204,2597,奔驰V级,1330,4,20230112
211,2020,8,北京越野,211,905,北京BJ40,1690,4,20230112
134,2020,8,东风标致,134,1417,标致4008,748,4,20230112
44,2020,8,斯巴鲁,44,229,森林人,1402,4,20230112
4,2020,8,大众（进口）,4,356,途锐,1597,4,20230112
259,2020,8,北汽新能源,259,3410,北汽新能源EC3,813,4,20230112
530,2020,8,瑞风汽车,530,1994,瑞风M3,1232,4,20230112
285,2020,8,奇瑞捷豹,285,2953,捷豹XEL,1118,4,20230112
57,2020,8,东风雪铁龙,57,2818,天逸 C5 AIRCROSS,848,4,20230112
35,2020,8,沃尔沃（进口）,35,238,沃尔沃XC90,1437,4,20230112
36,2020,8,林肯,36,3106,林肯航海家,678,4,20230112
264,2020,8,凯翼,264,3899,炫界,732,4,20230112
357,2020,8,星途,357,3532,星途追风,860,4,20230112
300,2020,8,威马,300,2976,威马EX5,1318,4,20230112
53,2020,8,东南,53,3581,东南DX5,630,5,20230112
202,2020,8,AMG,202,2486,AMG GLC,356,5,20230112
143,2020,8,长安铃木,143,1983,启悦,1120,5,20230112
200,2020,8,东风小康,200,804,小康K01,658,5,20230112
20,2020,8,三菱（进口）,20,509,帕杰罗（进口）,1066,5,20230112
398,2020,8,中国重汽VGV,398,3802,VGV U70,1008,5,20230112
338,2020,8,合众汽车,338,3448,哪吒U,651,5,20230112
91,2020,8,Jeep,91,502,牧马人,617,5,20230112
283,2020,8,广汽讴歌,283,3149,讴歌RDX,496,5,20230112
395,2020,8,东风本田,395,3493,东风本田X-NV,835,5,20230112
399,2020,8,梅赛德斯-迈巴赫,399,2092,迈巴赫S级,825,5,20230112
331,2020,8,广汽丰田,331,3580,广汽丰田iA5,748,5,20230112
335,2020,8,零跑汽车,335,3892,零跑T03,655,5,20230112
290,2020,8,SWM斯威汽车,290,3651,SWM斯威G05,395,5,20230112
373,2020,8,几何汽车,373,3362,几何A,359,5,20230112
63,2020,8,日产（进口）,63,277,途乐,639,5,20230112
50,2020,8,北汽昌河,50,2077,昌河M50,167,5,20230112
59,2020,8,玛莎拉蒂,59,1182,Levante,233,5,20230112
70,2020,8,捷豹,70,1798,捷豹F-PACE,356,5,20230112
214,2020,8,海马汽车,214,3091,海马8S,404,5,20230112
203,2020,8,野马汽车,203,3382,博骏,304,6,20230112
271,2020,8,华颂,271,2108,华颂7,398,6,20230112
274,2020,8,宝沃,274,2463,宝沃BX5,291,6,20230112
79,2020,8,中华,79,2168,中华V3,136,6,20230112
110,2020,8,北汽制造,110,27,战旗,150,6,20230112
307,2020,8,长安跨越,307,2871,长安V3,301,6,20230112
163,2020,8,昌河铃木,163,1656,北斗星X5,263,6,20230112
25,2020,8,福特（进口）,25,657,Mustang,287,6,20230112
227,2020,8,观致,227,2329,观致5,247,6,20230112
97,2020,8,英菲尼迪(进口),97,1791,Q70,132,6,20230112
210,2020,8,广汽本田,210,3240,广汽本田VE-1,257,6,20230112
225,2020,8,腾势,225,3628,腾势X PHEV,209,6,20230112
280,2020,8,汉腾汽车,280,2506,汉腾X7,102,6,20230112
169,2020,8,众泰,169,2335,众泰T700,58,6,20230112
235,2020,8,宝马M,235,1824,宝马M2,70,6,20230112
367,2020,8,国机智骏,367,3465,国机智骏GX5,95,6,20230112
232,2020,8,特斯拉,232,1862,特斯拉Model X,114,6,20230112
434,2020,8,睿蓝汽车,434,4015,枫叶30X,158,6,20230112
278,2020,8,东风汽车,278,3222,俊风E11K,96,6,20230112
277,2020,8,东风雷诺,277,2534,科雷傲,63,6,20230112
326,2020,8,爱驰,326,3101,爱驰U5,134,7,20230112
295,2020,8,江铃集团新能源,295,3358,易至EV3,121,7,20230112
42,2020,8,阿尔法-罗密欧,42,2654,Giulia,79,7,20230112
289,2020,8,驭胜,289,865,驭胜S350,118,7,20230112
64,2020,8,宾利,64,1393,飞驰,56,7,20230112
80,2020,8,猎豹汽车,80,3107,猎豹迈途,57,7,20230112
41,2020,8,劳斯莱斯,41,2447,库里南,63,7,20230112
262,2020,8,江西五十铃,262,2119,五十铃mu-X牧游侠,90,7,20230112
309,2020,8,瑞驰新能源,309,3922,瑞驰S513,76,7,20230112
325,2020,8,Polestar,325,3363,Polestar 2,73,7,20230112
312,2020,8,君马汽车,312,2931,君马MEET3（美图3）,57,7,20230112
66,2020,8,兰博基尼,66,1385,Urus,58,7,20230112
390,2020,8,汉龙汽车,390,3664,旷世,57,7,20230112
87,2020,8,陆风汽车,87,3398,陆风荣曜,54,7,20230112
342,2020,8,大乘汽车,342,3236,大乘G60s,41,7,20230112
9,2020,8,克莱斯勒（进口）,9,2732,Pacifica,26,7,20230112
376,2020,8,雷丁,376,3545,雷丁i9,26,7,20230112
384,2020,8,合创,384,3822,合创007,48,7,20230112
186,2020,8,福田汽车,186,3537,风景G5,27,7,20230112
439,2020,8,吉麦新能源,439,4040,凌宝BOX,44,7,20230112
303,2020,8,云度,303,2849,云度π1,35,8,20230112
193,2020,8,开瑞汽车,193,2669,开瑞K60,39,8,20230112
29,2020,8,阿斯顿·马丁,29,2260,DB11,34,8,20230112
347,2020,8,神龙汽车,347,4138,e爱丽舍,30,8,20230112
