年,月份,品牌id,厂商id,子品牌id,车系id,车系名称,级别,类型,销量,指导价,页码,dt
2020,1,28,55,946,946,逸动,紧凑型,三厢,8469,7.29-10.39万元,4,20230112
2020,1,276,406,1935,1935,宝骏730,紧凑型,MPV,8350,6.38-10.28万元,4,20230112
2020,1,17,54,859,859,智跑,紧凑型,SUV,8344,13.98-15.78万元,4,20230112
2020,1,9,175,632,632,汉兰达,中型,SUV,8252,26.88-34.88万元,4,20230112
2020,1,20,101,545,545,全新悦动,紧凑型,三厢,8015,8.49-11.59万元,4,20230112
2020,1,32,198,2615,2615,吉利帝豪GL,紧凑型,三厢,7981,7.78-10.88万元,4,20230112
2020,1,32,198,3176,3176,吉利缤瑞,紧凑型,三厢,7667,9.48-10.98万元,4,20230112
2020,1,209,327,3102,3102,捷途X70,中型,SUV,7466,8.69-17.09万元,4,20230112
2020,1,4,120,1269,1269,宝马X1,紧凑型,SUV,7417,27.98-33.98万元,4,20230112
2020,1,3,164,3136,3136,奔驰A级,紧凑型,三厢,7317,21.48-26.48万元,4,20230112
2020,1,167,279,2453,2453,风光580,中型,SUV,7309,7.99-12.99万元,4,20230112
2020,1,18,226,2624,2624,欧蓝德,紧凑型,SUV,6995,15.98-22.98万元,4,20230112
2020,1,187,296,2863,2863,领克03,紧凑型,三厢,6938,13.78-25.68万元,4,20230112
2020,1,276,406,3715,3715,宝骏RS-3,小型,SUV,6934,6.98-9.68万元,4,20230112
2020,1,167,279,2952,2952,风光S560,紧凑型,SUV,6795,6.79-7.89万元,4,20230112
2020,1,9,175,1778,1778,YARiS L致炫,小型,两厢,6599,8.58-10.38万元,5,20230112
2020,1,90,24,425,425,雷克萨斯ES,中大型,三厢,6307,29.69-48.89万元,5,20230112
2020,1,21,157,2487,2487,XT5,中型,SUV,6306,33.27-45.27万元,5,20230112
2020,1,112,206,2787,2787,传祺GS3,小型,SUV,6205,8.48-10.28万元,5,20230112
2020,1,6,30,13,13,高尔夫,紧凑型,两厢,6202,12.98-16.58万元,5,20230112
2020,1,41,7,2593,2593,红旗H5,中型,三厢,6202,14.58-22.58万元,5,20230112
2020,1,10,144,1695,1695,福睿斯,紧凑型,三厢,6126,9.08-11.68万元,5,20230112
2020,1,1,69,1933,1933,奥迪A3,紧凑型,掀背,6071,20.31-24.97万元,5,20230112
2020,1,6,40,3277,3277,T-Cross途铠,小型,SUV,6034,11.59-16.09万元,5,20230112
2020,1,24,184,660,660,名爵6,紧凑型,掀背,5869,10.38-13.98万元,5,20230112
2020,1,1,69,1605,1605,奥迪Q3,紧凑型,SUV,5782,27.88-32.62万元,5,20230112
2020,1,276,406,3565,3565,宝骏RM-5,紧凑型,MPV,5675,7.88-12.08万元,5,20230112
2020,1,41,7,3442,3442,红旗HS5,中型,SUV,5642,18.38-24.98万元,5,20230112
2020,1,6,40,2629,2629,途昂,中大型,SUV,5560,29.50-40.50万元,5,20230112
2020,1,54,74,2916,2916,瑞虎5x,小型,SUV,5546,6.99-10.19万元,5,20230112
2020,1,9,175,3030,3030,C-HR,小型,SUV,5478,14.18-19.08万元,5,20230112
2020,1,276,406,2379,2379,宝骏530,紧凑型,SUV,5384,7.08-9.38万元,5,20230112
2020,1,20,101,1667,1667,名图,中型,三厢,5307,13.38-16.88万元,5,20230112
2020,1,20,101,1936,1936,现代ix25,小型,SUV,5276,10.58-13.68万元,5,20230112
2020,1,20,101,2297,2297,途胜L,紧凑型,SUV,5238,16.18-22.58万元,5,20230112
2020,1,22,153,2459,2459,迈锐宝XL,中型,三厢,5226,17.59-21.99万元,6,20230112
2020,1,2,135,3334,3334,享域,紧凑型,三厢,5163,10.98-16.99万元,6,20230112
2020,1,125,207,2888,2888,启辰D60,紧凑型,三厢,5135,6.98-14.08万元,6,20230112
2020,1,19,183,457,457,明锐,紧凑型,掀背,5133,10.99-15.49万元,6,20230112
2020,1,65,127,3381,3381,五菱宏光V,,微面,5130,4.48-5.18万元,6,20230112
