年,月份,品牌id,厂商id,子品牌id,车系id,车系名称,级别,类型,销量,指导价,页码,dt
2020,10,24,184,3734,3734,名爵eHS,紧凑型,SUV,39,18.98-21.98万元,28,20230112
2020,10,15,189,3307,3307,马自达CX-8,中大型,SUV,38,25.88-33.08万元,28,20230112
2020,10,76,42,2601,2601,Stelvio斯坦维,中型,SUV,38,45.68-95.28万元,28,20230112
2020,10,34,61,2518,2518,风行S50EV,紧凑型,三厢,38,13.19-15.99万元,29,20230112
2020,10,189,308,3280,3280,长行,紧凑型,MPV,37,5.99-6.49万元,29,20230112
2020,10,4,235,3461,3461,宝马X3 M,中型,SUV,35,89.99万元,29,20230112
2020,10,207,325,3363,3363,Polestar 2,紧凑型,掀背,35,29.98-35.88万元,29,20230112
2020,10,48,90,3332,3332,江淮iEVS4,小型,SUV,35,13.95-15.95万元,29,20230112
2020,10,25,110,1253,1253,勇士,紧凑型,SUV,34,10.68-14.88万元,29,20230112
2020,10,8,58,4108,4108,微蓝7,小型,SUV,33,19.78-21.78万元,29,20230112
2020,10,3,202,731,731,AMG C,中型,三厢,33,57.38-116.08万元,29,20230112
2020,10,26,89,4077,4077,比亚迪唐EV,中型,SUV,32,28.28-34.28万元,29,20230112
2020,10,276,406,3825,3825,宝骏RS-7,中型,SUV,32,,29,20230112
2020,10,180,300,3469,3469,威马EX6,中型,SUV,32,23.99-27.99万元,29,20230112
2020,10,39,88,3142,3142,海马7X,紧凑型,MPV,32,12.58-14.98万元,29,20230112
2020,10,41,7,3121,3121,红旗E-HS3,紧凑型,SUV,30,22.58-26.58万元,29,20230112
2020,10,23,57,3927,3927,天逸 C5 AIRCROSS混动,紧凑型,SUV,27,23.17万元,29,20230112
2020,10,71,169,1096,1096,众泰T300,小型,SUV,27,5.98万元,29,20230112
2020,10,4,235,621,621,宝马M5,中大型,三厢,27,143.89万元,29,20230112
2020,10,34,61,4231,4231,菱智PLUS,中大型,MPV,27,9.99-14.69万元,29,20230112
2020,10,20,101,3624,3624,领动混动,紧凑型,三厢,26,15.78-17.88万元,29,20230112
2020,10,145,246,2303,2303,启腾EX80,,微面,25,5.88-6.18万元,29,20230112
2020,10,301,432,4012,4012,悦虎,小型,SUV,24,7.18-8.28万元,29,20230112
2020,10,17,54,2640,2640,起亚KX7,中型,SUV,23,21.48-27.68万元,30,20230112
2020,10,167,279,3479,3479,风光E3,小型,SUV,23,12.98-15.98万元,30,20230112
2020,10,214,332,3153,3153,全界Q1,小型,两厢,22,6.98-7.58万元,30,20230112
2020,10,125,207,3485,3485,启辰T60 EV,小型,SUV,22,16.38-18.18万元,30,20230112
2020,10,1,2,1730,1730,奥迪S5,中型,三厢,21,63.18-70.88万元,30,20230112
2020,10,4,235,2798,2798,宝马X4 M,中型,SUV,21,92.99万元,30,20230112
2020,10,24,184,1413,1413,名爵锐腾,紧凑型,SUV,20,11.98-17.88万元,30,20230112
2020,10,24,184,3298,3298,名爵EZS,小型,SUV,19,11.98-14.98万元,30,20230112
2020,10,228,348,3302,3302,天际ME7,中型,SUV,19,23.88-26.98万元,30,20230112
2020,10,39,214,2870,2870,海马爱尚EV,微型,两厢,18,3.98-4.28万元,30,20230112
2020,10,124,219,2934,2934,上汽MAXUS EG10,中大型,MPV,18,29.93-34.93万元,30,20230112
2020,10,314,447,4087,4087,天美汽车ET5,中型,SUV,17,15.28-19.88万元,30,20230112
2020,10,138,232,1709,1709,特斯拉Model S,中大型,掀背,15,78.99-106.00万元,30,20230112
2020,10,75,29,2260,2260,DB11,,跑车,15,235.80-245.80万元,30,20230112
2020,10,187,296,3893,3893,领克06 PHEV,紧凑型,SUV,15,15.78-17.28万元,30,20230112
2020,10,235,357,3533,3533,揽月,中大型,SUV,15,17.99-23.39万元,30,20230112
2020,10,23,57,3898,3898,雪铁龙C3L,紧凑型,三厢,15,8.49-10.59万元,30,20230112
2020,10,322,455,4165,4165,速达SA01,紧凑型,三厢,14,17.00万元,30,20230112
2020,10,301,432,4080,4080,远志M1,中型,MPV,14,17.78-32.88万元,30,20230112
2020,10,10,253,3527,3527,领界EV,紧凑型,SUV,14,17.98-19.28万元,30,20230112
2020,10,6,40,4172,4172,途观X,中型,SUV,13,24.08-27.08万元,31,20230112
2020,10,241,367,3468,3468,国机智骏GC2,微型,两厢,13,6.58-8.18万元,31,20230112
2020,10,34,61,1894,1894,景逸S50,紧凑型,三厢,12,6.99-7.99万元,31,20230112
2020,10,75,29,3559,3559,DBX,中大型,SUV,12,196.80-324.80万元,31,20230112
2020,10,192,302,3789,3789,魏牌VV7 GT PHEV,中型,SUV,12,25.68万元,31,20230112
2020,10,132,223,3921,3921,长安欧尚X7 EV,紧凑型,SUV,12,15.99-17.99万元,31,20230112
2020,10,189,308,3797,3797,长行EV,紧凑型,MPV,12,16.32-16.98万元,31,20230112
2020,10,88,66,1864,1864,Huracan,,跑车,12,254.00-390.00万元,31,20230112
2020,10,125,207,3475,3475,启辰e30,小型,SUV,11,7.24-8.54万元,31,20230112
2020,10,122,217,3061,3061,DS 7,紧凑型,SUV,11,22.99-32.99万元,31,20230112
2020,10,94,65,2968,2968,揽胜运动版混动,中大型,SUV,9,135.80万元,31,20230112
2020,10,89,41,2300,2300,曜影,,跑车,9,520.00-620.00万元,31,20230112
2020,10,85,70,1563,1563,捷豹F-Type,,跑车,9,58.20-67.68万元,31,20230112
2020,10,213,339,3253,3253,祺智EV,小型,SUV,8,12.98-13.98万元,31,20230112
2020,10,89,41,1626,1626,魅影,,轿跑,8,505.00-590.00万元,31,20230112
2020,10,25,110,4016,4016,北汽小猫,微型,两厢,7,3.98万元,31,20230112
2020,10,5,134,3660,3660,标致4008混动,紧凑型,SUV,7,24.97-25.97万元,31,20230112
2020,10,220,338,4130,4130,哪吒V ,小型,SUV,7,8.39-12.38万元,31,20230112
2020,10,90,24,2520,2520,雷克萨斯LC,,跑车,6,115.50-129.80万元,31,20230112
2020,10,4,235,2923,2923,宝马M8,,跑车,6,196.80-219.80万元,31,20230112
2020,10,107,201,2039,2039,艾菲,中型,MPV,6,13.98万元,32,20230112
2020,10,89,41,381,381,幻影,大型,三厢,6,790.00-920.00万元,32,20230112
2020,10,135,229,3572,3572,迈凯伦GT,,跑车,6,208.80万元,32,20230112
2020,10,4,235,694,694,宝马X6 M,中大型,SUV,5,146.89万元,32,20230112
2020,10,303,434,4154,4154,枫叶80v,紧凑型,MPV,5,8.98-15.98万元,32,20230112
2020,10,189,308,3217,3217,欧尚A600 EV,紧凑型,MPV,5,14.98万元,32,20230112
2020,10,48,90,2943,2943,江淮iEV7S,小型,SUV,4,9.35-10.95万元,32,20230112
2020,10,322,455,4166,4166,速达SD01,小型,两厢,4,15.00万元,32,20230112
2020,10,135,229,2793,2793,迈凯伦720S,,跑车,4,339.80-378.80万元,32,20230112
2020,10,109,203,4062,4062,斯派卡EV,紧凑型,MPV,4,14.99-16.99万元,32,20230112
2020,10,27,50,4125,4125,北汽EC100,微型,两厢,4,7.18-7.58万元,32,20230112
2020,10,305,437,4035,4035,开沃D07,,微面,4,10.48-10.88万元,32,20230112
2020,10,75,29,576,576,Vantage,,跑车,4,175.80-216.80万元,32,20230112
2020,10,66,177,3829,3829,奔腾E01,中型,SUV,4,19.68-22.88万元,32,20230112
2020,10,3,202,735,735,AMG S,大型,三厢,3,227.88-307.88万元,32,20230112
2020,10,226,347,4138,4138,e爱丽舍,紧凑型,三厢,3,12.98-13.98万元,32,20230112
2020,10,4,1,409,409,宝马X3（进口）,中型,SUV,2,62.99万元,32,20230112
2020,10,75,29,577,577,DBS,,跑车,2,400.80-410.80万元,32,20230112
2020,10,3,164,3775,3775,奔驰E级混动,中大型,三厢,2,52.23万元,32,20230112
2020,10,1,234,1614,1614,奥迪RS 7,中大型,轿跑,2,146.88万元,32,20230112
2020,10,1,2,840,840,奥迪A7,中大型,三厢,2,58.58-78.48万元,33,20230112
2020,10,226,347,3292,3292,富康ES500,紧凑型,三厢,2,14.18万元,33,20230112
2020,10,68,185,3912,3912,森雅R8,小型,SUV,2,7.49-8.99万元,33,20230112
2020,10,167,279,4208,4208,风光500,紧凑型,SUV,2,6.18-8.58万元,33,20230112
2020,10,188,295,3096,3096,易至EX5,小型,SUV,2,12.58-13.28万元,33,20230112
2020,10,48,90,2668,2668,瑞风S7,紧凑型,SUV,2,10.98-13.98万元,33,20230112
2020,10,6,4,2342,2342,蔚揽,中型,旅行车,1,26.48-33.88万元,33,20230112
2020,10,78,64,3458,3458,添越混动,中大型,SUV,1,238.50万元,33,20230112
2020,10,207,325,3066,3066,Polestar 1混动,,跑车,1,145.00万元,33,20230112
2020,10,3,8,2124,2124,奔驰GLE级轿跑,中大型,SUV,1,79.58-92.35万元,33,20230112
2020,10,209,327,3414,3414,捷途X70S EV,中型,SUV,1,14.98-15.98万元,33,20230112
2020,10,89,41,705,705,古思特,大型,三厢,1,473.00-547.00万元,33,20230112
2020,10,2,75,602,602,锋范,紧凑型,三厢,1,7.98-10.68万元,33,20230112
2020,10,32,198,421,421,吉利金刚三厢,小型,三厢,1,4.79-6.59万元,33,20230112
2020,10,92,154,1158,1158,路特斯Evora,,跑车,1,97.20万元,33,20230112
2020,10,278,408,3293,3293,野马EC60,小型,SUV,1,16.99万元,33,20230112
2020,10,168,280,3313,3313,幸福e+,微型,两厢,1,5.98-6.98万元,33,20230112
2020,10,94,65,3015,3015,揽胜混动,中大型,SUV,1,219.80万元,33,20230112
2020,10,66,177,429,429,奔腾B70,中型,三厢,1,10.59-14.49万元,33,20230112
2020,11,12,94,428,428,轩逸,紧凑型,三厢,56026,9.98-14.49万元,1,20230112
2020,11,6,40,549,549,朗逸,紧凑型,三厢,48759,12.09-15.09万元,1,20230112
2020,11,136,230,776,776,哈弗H6,紧凑型,SUV,43134,9.89-15.70万元,1,20230112
2020,11,8,58,814,814,英朗,紧凑型,三厢,37876,11.99-12.59万元,1,20230112
2020,11,6,30,573,573,宝来,紧凑型,三厢,36573,9.88-15.70万元,1,20230112
2020,11,9,76,492,492,卡罗拉,紧凑型,三厢,33677,10.98-15.98万元,1,20230112
2020,11,6,30,410,410,速腾,紧凑型,三厢,33042,12.79-17.29万元,1,20230112
2020,11,65,127,4030,4030,宏光MINIEV,微型,两厢,31368,3.28-9.99万元,1,20230112
2020,11,2,135,145,145,CR-V,紧凑型,SUV,28265,16.98-27.68万元,1,20230112
2020,11,2,135,395,395,思域,紧凑型,两厢,23711,12.99-18.79万元,1,20230112
2020,11,9,175,1972,1972,雷凌,紧凑型,三厢,22627,11.18-15.28万元,1,20230112
2020,11,28,55,3392,3392,长安CS75 PLUS,紧凑型,SUV,22192,11.79-15.49万元,1,20230112
2020,11,138,388,3654,3654,Model 3,中型,三厢,21572,22.99-32.99万元,1,20230112
2020,11,2,75,86,86,雅阁,中型,三厢,21001,16.98-25.98万元,1,20230112
2020,11,9,175,406,406,凯美瑞,中型,三厢,18685,17.98-26.98万元,1,20230112
2020,11,9,76,626,626,RAV4荣放,紧凑型,SUV,18099,17.58-26.08万元,1,20230112
2020,11,6,40,2275,2275,桑塔纳,紧凑型,三厢,18026,8.79-11.28万元,1,20230112
2020,11,6,30,459,459,迈腾,中型,三厢,17035,18.69-30.99万元,1,20230112
2020,11,8,58,154,154,别克GL8,中大型,MPV,16867,23.29-53.39万元,1,20230112
2020,11,65,127,841,841,五菱宏光,,微面,16613,4.60-5.99万元,1,20230112
2020,11,32,198,2325,2325,吉利博越,紧凑型,SUV,16134,9.18-14.28万元,2,20230112
2020,11,2,135,2045,2045,XR-V,小型,SUV,16065,13.29-15.29万元,2,20230112
2020,11,1,69,9,9,奥迪A4L,中型,三厢,15910,32.18-39.68万元,2,20230112
2020,11,1,69,10,10,奥迪A6L,中大型,三厢,15877,42.79-65.68万元,2,20230112
2020,11,12,94,523,523,逍客,紧凑型,SUV,15848,15.49-18.89万元,2,20230112
2020,11,136,230,2884,2884,哈弗M6,紧凑型,SUV,15333,7.19-9.29万元,2,20230112
2020,11,4,120,119,119,宝马3系,中型,三厢,15332,29.99-39.99万元,2,20230112
2020,11,12,94,578,578,奇骏,紧凑型,SUV,15219,17.99-26.29万元,2,20230112
2020,11,1,69,3158,3158,奥迪Q5L,中型,SUV,15200,39.68-48.88万元,2,20230112
2020,11,3,164,2326,2326,奔驰GLC级,中型,SUV,15168,40.63-47.68万元,2,20230112
2020,11,2,75,3640,3640,皓影,紧凑型,SUV,14671,16.98-25.28万元,2,20230112
2020,11,28,55,946,946,逸动,紧凑型,三厢,14584,7.29-10.39万元,2,20230112
2020,11,6,30,3216,3216,探岳,中型,SUV,14276,20.49-25.99万元,2,20230112
2020,11,6,40,680,680,途观L,中型,SUV,13854,19.90-28.38万元,2,20230112
2020,11,3,164,357,357,奔驰E级,中大型,三厢,13342,43.68-55.60万元,2,20230112
2020,11,2,75,1619,1619,缤智,小型,SUV,13236,12.78-17.68万元,2,20230112
2020,11,28,55,3813,3813,长安CS55 PLUS,紧凑型,SUV,13156,9.29-12.59万元,2,20230112
2020,11,6,40,3174,3174,途岳,紧凑型,SUV,12813,15.86-21.66万元,2,20230112
2020,11,4,120,3090,3090,宝马X3,中型,SUV,12615,39.69-47.98万元,2,20230112
2020,11,4,120,168,168,宝马5系,中大型,三厢,12454,43.39-55.19万元,2,20230112
2020,11,3,164,539,539,奔驰C级,中型,三厢,12378,32.52-37.73万元,3,20230112
2020,11,90,24,425,425,雷克萨斯ES,中大型,三厢,12358,29.69-48.89万元,3,20230112
2020,11,9,76,3295,3295,亚洲龙,中型,三厢,12177,19.98-27.98万元,3,20230112
2020,11,6,40,6,6,帕萨特,中型,三厢,11884,18.19-25.29万元,3,20230112
2020,11,57,182,3248,3248,荣威i5,紧凑型,三厢,11788,6.79-9.99万元,3,20230112
2020,11,12,94,159,159,天籁,中型,三厢,11670,17.98-26.98万元,3,20230112
2020,11,22,153,3322,3322,科鲁泽,紧凑型,三厢,11565,9.49-10.89万元,3,20230112
2020,11,32,198,2017,2017,吉利帝豪,紧凑型,三厢,11192,6.99-12.98万元,3,20230112
2020,11,8,58,64,64,君威,中型,三厢,10388,19.68-24.98万元,3,20230112
2020,11,112,206,2136,2136,传祺GS4,紧凑型,SUV,10135,8.98-14.68万元,3,20230112
2020,11,41,7,3442,3442,红旗HS5,中型,SUV,9781,18.38-24.98万元,3,20230112
2020,11,9,175,632,632,汉兰达,中型,SUV,9563,26.88-34.88万元,3,20230112
2020,11,2,75,88,88,飞度,小型,两厢,9535,8.18-10.88万元,3,20230112
2020,11,2,75,1327,1327,凌派,紧凑型,三厢,9475,10.98-16.98万元,3,20230112
2020,11,20,101,25,25,伊兰特,紧凑型,三厢,9407,9.98-14.18万元,3,20230112
2020,11,28,55,3920,3920,长安UNI-T,紧凑型,SUV,9245,11.59-14.99万元,3,20230112
2020,11,6,30,3105,3105,探歌,紧凑型,SUV,8947,15.89-17.79万元,3,20230112
2020,11,57,182,2507,2507,荣威RX5,紧凑型,SUV,8624,9.33-15.59万元,3,20230112
2020,11,32,198,2892,2892,吉利远景X3,小型,SUV,8447,4.99-6.89万元,3,20230112
2020,11,4,120,1269,1269,宝马X1,紧凑型,SUV,8398,27.98-33.98万元,3,20230112
2020,11,15,189,1847,1847,昂克赛拉,紧凑型,两厢,8187,11.59-18.99万元,4,20230112
2020,11,221,340,3346,3346,欧拉黑猫,微型,两厢,8130,8.48-9.98万元,4,20230112
2020,11,9,175,3812,3812,威兰达,紧凑型,SUV,8080,17.38-24.88万元,4,20230112
2020,11,28,55,3271,3271,长安CS35 PLUS,小型,SUV,7987,6.99-10.99万元,4,20230112
2020,11,54,74,3074,3074,瑞虎8,中型,SUV,7932,9.58-16.89万元,4,20230112
2020,11,9,175,1778,1778,YARiS L致炫,小型,两厢,7910,8.58-10.38万元,4,20230112
2020,11,32,198,3113,3113,吉利缤越,小型,SUV,7807,7.58-11.98万元,4,20230112
2020,11,201,318,3297,3297,AION S,紧凑型,三厢,7709,13.98-19.16万元,4,20230112
2020,11,41,7,2593,2593,红旗H5,中型,三厢,7306,14.58-22.58万元,4,20230112
2020,11,65,127,3381,3381,五菱宏光V,,微面,7036,4.48-5.18万元,4,20230112
2020,11,136,230,4097,4097,哈弗大狗,紧凑型,SUV,6920,11.99-16.79万元,4,20230112
2020,11,32,198,2606,2606,吉利远景X6,紧凑型,SUV,6863,7.59-8.99万元,4,20230112
2020,11,32,198,1966,1966,吉利帝豪GS,紧凑型,SUV,6640,7.78-11.68万元,4,20230112
2020,11,32,198,3176,3176,吉利缤瑞,紧凑型,三厢,6628,9.48-10.98万元,4,20230112
2020,11,136,230,3272,3272,哈弗F7,紧凑型,SUV,6585,11.18-15.18万元,4,20230112
2020,11,28,55,1765,1765,长安CS75,紧凑型,SUV,6539,10.29-11.99万元,4,20230112
2020,11,187,296,2863,2863,领克03,紧凑型,三厢,6440,13.78-25.68万元,4,20230112
2020,11,20,101,545,545,全新悦动,紧凑型,三厢,6420,8.49-11.59万元,4,20230112
2020,11,6,30,13,13,高尔夫,紧凑型,两厢,6377,12.98-16.58万元,4,20230112
2020,11,233,354,3386,3386,捷达VS5,紧凑型,SUV,6375,8.68-11.58万元,4,20230112
2020,11,2,135,3144,3144,英仕派,中型,三厢,6334,17.99-25.59万元,5,20230112
2020,11,6,40,1970,1970,凌渡,紧凑型,三厢,6301,15.09-19.09万元,5,20230112
2020,11,22,153,2459,2459,迈锐宝XL,中型,三厢,6249,17.59-21.99万元,5,20230112
2020,11,21,157,3218,3218,XT4,紧凑型,SUV,6171,26.17-35.47万元,5,20230112
2020,11,18,226,2624,2624,欧蓝德,紧凑型,SUV,6017,15.98-22.98万元,5,20230112
2020,11,20,101,745,745,现代ix35,紧凑型,SUV,5923,12.98-15.58万元,5,20230112
2020,11,13,244,2079,2079,沃尔沃XC60,中型,SUV,5923,37.39-47.49万元,5,20230112
2020,11,12,94,253,253,骐达,紧凑型,两厢,5852,9.99-13.59万元,5,20230112
2020,11,21,157,2487,2487,XT5,中型,SUV,5755,33.27-45.27万元,5,20230112
2020,11,276,406,2641,2641,宝骏510,小型,SUV,5745,5.38-7.38万元,5,20230112
2020,11,3,164,3774,3774,奔驰GLB,紧凑型,SUV,5683,29.09-36.48万元,5,20230112
2020,11,32,198,2615,2615,吉利帝豪GL,紧凑型,三厢,5651,7.78-10.88万元,5,20230112
2020,11,26,89,3828,3828,比亚迪汉EV,中大型,三厢,5617,21.98-33.18万元,5,20230112
2020,11,17,54,859,859,智跑,紧凑型,SUV,5609,13.98-15.78万元,5,20230112
2020,11,3,164,3136,3136,奔驰A级,紧凑型,三厢,5594,21.48-26.48万元,5,20230112
2020,11,4,1,411,411,宝马X5（进口）,中大型,SUV,5462,69.99-83.99万元,5,20230112
2020,11,90,24,267,267,雷克萨斯RX,中大型,SUV,5424,40.50-80.10万元,5,20230112
2020,11,1,69,1933,1933,奥迪A3,紧凑型,掀背,5394,20.31-24.97万元,5,20230112
2020,11,24,184,660,660,名爵6,紧凑型,掀背,5355,10.38-13.98万元,5,20230112
2020,11,2,75,2519,2519,冠道,中型,SUV,5307,22.48-33.28万元,5,20230112
2020,11,21,157,3594,3594,CT5,中型,三厢,5288,27.97-36.07万元,6,20230112
2020,11,9,76,61,61,威驰,小型,三厢,5259,7.38-9.48万元,6,20230112
2020,11,32,198,3595,3595,星瑞,紧凑型,三厢,5169,11.37-14.57万元,6,20230112
2020,11,276,406,2379,2379,宝骏530,紧凑型,SUV,5116,7.08-9.38万元,6,20230112
2020,11,1,69,1605,1605,奥迪Q3,紧凑型,SUV,5107,27.88-32.62万元,6,20230112
2020,11,65,127,4095,4095,五菱凯捷,紧凑型,MPV,5103,8.58-12.58万元,6,20230112
2020,11,362,358,2645,2645,小蚂蚁,微型,两厢,5033,7.99-10.30万元,6,20230112
2020,11,6,40,567,567,POLO,小型,两厢,5028,9.09-12.49万元,6,20230112
2020,11,8,58,388,388,君越,中型,三厢,4968,21.98-28.98万元,6,20230112
2020,11,9,76,2979,2979,奕泽IZOA,小型,SUV,4835,14.98-18.98万元,6,20230112
2020,11,6,40,2629,2629,途昂,中大型,SUV,4794,29.50-40.50万元,6,20230112
2020,11,209,327,4218,4218,捷途X70 PLUS,中型,SUV,4752,8.99-13.89万元,6,20230112
2020,11,28,55,2101,2101,逸动EV,紧凑型,三厢,4727,14.99-15.99万元,6,20230112
2020,11,9,175,3030,3030,C-HR,小型,SUV,4707,14.18-19.08万元,6,20230112
2020,11,225,344,3274,3274,理想ONE,中大型,SUV,4676,34.98万元,6,20230112
2020,11,54,74,2916,2916,瑞虎5x,小型,SUV,4674,6.99-10.19万元,6,20230112
2020,11,2,135,1528,1528,艾力绅,中型,MPV,4595,27.98-33.18万元,6,20230112
2020,11,90,24,1808,1808,雷克萨斯NX,中型,SUV,4508,31.88-54.88万元,6,20230112
2020,11,1,69,3225,3225,奥迪Q2L,小型,SUV,4496,22.88-26.88万元,6,20230112
2020,11,276,406,3715,3715,宝骏RS-3,小型,SUV,4424,6.98-9.68万元,6,20230112
2020,11,276,406,1935,1935,宝骏730,紧凑型,MPV,4284,6.38-10.28万元,7,20230112
2020,11,93,385,3591,3591,冒险家,紧凑型,SUV,4280,24.58-34.58万元,7,20230112
2020,11,22,153,2611,2611,科沃兹,紧凑型,三厢,4270,8.39-9.99万元,7,20230112
2020,11,112,206,2380,2380,传祺M8,中大型,MPV,4204,17.98-36.98万元,7,20230112
2020,11,28,55,604,604,悦翔,小型,三厢,4073,5.19-6.79万元,7,20230112
2020,11,28,55,3721,3721,锐程CC,中型,三厢,3990,9.79-11.29万元,7,20230112
2020,11,2,75,87,87,奥德赛,中型,MPV,3967,23.58-43.98万元,7,20230112
2020,11,2,135,3334,3334,享域,紧凑型,三厢,3918,10.98-16.99万元,7,20230112
2020,11,187,296,3894,3894,领克06,小型,SUV,3905,11.86-13.98万元,7,20230112
2020,11,54,74,2494,2494,瑞虎7,紧凑型,SUV,3892,8.69-11.29万元,7,20230112
2020,11,112,206,3287,3287,传祺M6,紧凑型,MPV,3887,10.98-15.98万元,7,20230112
2020,11,6,40,3277,3277,T-Cross途铠,小型,SUV,3877,11.59-16.09万元,7,20230112
2020,11,22,153,2788,2788,探界者,中型,SUV,3760,16.99-23.99万元,7,20230112
2020,11,4,120,2716,2716,宝马1系,紧凑型,三厢,3605,20.58-24.99万元,7,20230112
2020,11,2,135,2678,2678,UR-V,中型,SUV,3586,24.68-32.98万元,7,20230112
2020,11,13,244,2705,2705,沃尔沃S90,中大型,三厢,3586,40.69-50.59万元,7,20230112
2020,11,112,206,2787,2787,传祺GS3,小型,SUV,3522,8.48-10.28万元,7,20230112
2020,11,21,157,3523,3523,XT6,中大型,SUV,3518,39.27-55.42万元,7,20230112
2020,11,32,198,3908,3908,豪越,中型,SUV,3493,10.36-14.26万元,7,20230112
2020,11,26,89,1436,1436,比亚迪秦EV,紧凑型,三厢,3461,12.99-17.48万元,7,20230112
2020,11,65,127,2857,2857,五菱宏光S3,中型,SUV,3436,6.01-8.28万元,8,20230112
2020,11,10,144,3417,3417,锐际,紧凑型,SUV,3401,16.98-22.18万元,8,20230112
2020,11,233,354,3385,3385,捷达VA3,紧凑型,三厢,3386,6.58-9.28万元,8,20230112
2020,11,187,296,3396,3396,领克05,紧凑型,SUV,3369,17.58-26.18万元,8,20230112
2020,11,54,74,2323,2323,艾瑞泽5,紧凑型,三厢,3270,5.99-8.58万元,8,20230112
2020,11,65,127,3716,3716,五菱宏光PLUS,紧凑型,MPV,3197,5.88-7.98万元,8,20230112
2020,11,34,61,46,46,菱智,中型,MPV,3182,5.99-9.99万元,8,20230112
2020,11,20,101,1936,1936,现代ix25,小型,SUV,3170,10.58-13.68万元,8,20230112
2020,11,125,207,2888,2888,启辰D60,紧凑型,三厢,3167,6.98-14.08万元,8,20230112
2020,11,65,127,58,58,五菱之光,,微面,3164,3.51-3.68万元,8,20230112
2020,11,54,74,4181,4181,瑞虎8 PLUS,中型,SUV,3136,12.49-16.99万元,8,20230112
2020,11,65,127,698,698,五菱荣光,,微面,3134,5.10-5.76万元,8,20230112
2020,11,17,54,2086,2086,起亚KX3傲跑,小型,SUV,3119,10.88-13.68万元,8,20230112
2020,11,10,144,4064,4064,探险者,中大型,SUV,3098,30.98-37.98万元,8,20230112
2020,11,77,68,372,372,卡宴,中大型,SUV,3080,92.30-244.80万元,8,20230112
2020,11,209,327,3133,3133,捷途X90,中型,SUV,3080,8.99-17.29万元,8,20230112
2020,11,3,8,305,305,奔驰S级,大型,三厢,3061,94.68-184.53万元,8,20230112
2020,11,233,354,3732,3732,捷达VS7,中型,SUV,2997,10.49-13.59万元,8,20230112
2020,11,6,30,3635,3635,探影,小型,SUV,2967,11.59-16.09万元,8,20230112
2020,11,19,183,3072,3072,柯米克,小型,SUV,2937,11.19-11.99万元,8,20230112
2020,11,17,54,903,903,K5凯酷,中型,三厢,2937,16.28-20.68万元,9,20230112
2020,11,20,101,2559,2559,悦纳,小型,三厢,2873,7.28-9.68万元,9,20230112
2020,11,192,302,3200,3200,魏牌VV6,紧凑型,SUV,2870,14.80-17.50万元,9,20230112
2020,11,3,164,2179,2179,奔驰GLA级,紧凑型,SUV,2827,28.78-34.48万元,9,20230112
2020,11,3,8,2180,2180,奔驰GLE级,中大型,SUV,2783,69.98-88.05万元,9,20230112
2020,11,94,270,3909,3909,发现运动版,中型,SUV,2771,35.68-45.58万元,9,20230112
2020,11,77,68,917,917,Macan,中型,SUV,2763,57.30-85.30万元,9,20230112
2020,11,41,7,3904,3904,红旗H9,中大型,三厢,2745,30.98-86.00万元,9,20230112
2020,11,13,244,1843,1843,沃尔沃S60,中型,三厢,2741,29.69-38.49万元,9,20230112
2020,11,26,89,1959,1959,比亚迪唐DM,中型,SUV,2729,20.98-33.18万元,9,20230112
2020,11,10,144,2091,2091,锐界,中型,SUV,2717,22.98-30.98万元,9,20230112
2020,11,20,101,3254,3254,菲斯塔,紧凑型,三厢,2716,13.88-15.48万元,9,20230112
2020,11,203,320,3418,3418,小鹏汽车P7,中型,三厢,2713,23.99-28.59万元,9,20230112
2020,11,136,230,3428,3428,哈弗F7x,紧凑型,SUV,2698,11.99-15.49万元,9,20230112
2020,11,57,182,3472,3472,荣威RX5 MAX,紧凑型,SUV,2695,12.98-16.58万元,9,20230112
2020,11,10,144,1695,1695,福睿斯,紧凑型,三厢,2684,9.08-11.68万元,9,20230112
2020,11,10,144,332,332,福克斯,紧凑型,三厢,2681,11.98-14.58万元,9,20230112
2020,11,19,183,2959,2959,柯珞克,紧凑型,SUV,2680,14.99-15.89万元,9,20230112
2020,11,20,101,2297,2297,途胜L,紧凑型,SUV,2679,16.18-22.58万元,9,20230112
2020,11,4,1,335,335,宝马7系,大型,三厢,2676,82.80-261.20万元,9,20230112
2020,11,276,406,3991,3991,宝骏RC-5,紧凑型,三厢,2669,5.98-10.98万元,10,20230112
2020,11,15,189,1725,1725,CX-5,紧凑型,SUV,2612,17.58-24.58万元,10,20230112
2020,11,17,54,1548,1548,起亚K3,紧凑型,三厢,2584,10.98-13.18万元,10,20230112
2020,11,137,231,3641,3641,北京EU5,紧凑型,三厢,2575,10.99-17.19万元,10,20230112
2020,11,10,144,677,677,蒙迪欧,中型,三厢,2564,15.98-21.88万元,10,20230112
2020,11,19,183,1573,1573,昕锐,紧凑型,三厢,2543,9.99万元,10,20230112
2020,11,6,40,3482,3482,途昂X,中大型,SUV,2534,28.50-39.50万元,10,20230112
2020,11,180,300,2976,2976,威马EX5,紧凑型,SUV,2530,16.08-17.98万元,10,20230112
2020,11,187,296,2673,2673,领克01,紧凑型,SUV,2528,17.98-20.68万元,10,20230112
2020,11,8,58,3723,3723,昂科旗,中大型,SUV,2519,29.99-35.99万元,10,20230112
