求和项:本地销量,列标签,,
行标签,零售量,批发量,零售量占比
DS汽车,1289,2725,47.3%
DS 9,1099,2293,47.9%
DS 9 PHEV,105,100,105.0%
DS 7,85,332,25.6%
云度新能源,1193,1081,110.4%
云度π1,829,757,109.5%
云度π3,364,324,112.3%
海马汽车,958,958,100.0%
海马8S,958,958,100.0%
北汽昌河,910,1178,77.2%
昌河北斗星,890,1158,76.9%
北汽昌河A6,13,13,100.0%
北汽昌河M50S,7,7,100.0%
爱驰汽车,787,3713,21.2%
爱驰U5,787,3713,21.2%
观致汽车,488,,#DIV/0!
观致7,488,,#DIV/0!
云雀汽车,342,2119,16.1%
全界Q1,342,2119,16.1%
国机智骏,200,240,83.3%
国机智骏GX5,108,126,85.7%
国机智骏GC1,92,114,80.7%
新龙马汽车,57,1446,3.9%
新龙马汽车启腾EX80,57,1446,3.9%
